Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1038564	0423U	Psychiatry (eg, depression, anxiety), genomic analysis panel, including variant analysis of 26 genes, buccal swab, report including metabolizer status and risk of drug toxicity by condition	PSYC GENOMIC ALYS PNL VRNT ALYS 26 GEN BUCC SWAB	PSYC GENOMIC ALYS PNL 26 GEN	Genomic analysis panel of 26 genes from cheek swab, report including metabolizer status and risk of drug toxicity by psychiatric condition	Panel de análisis genómico de 26 genes a partir de un hisopado de mejilla, con reporte que incluye el estado metabolizador y el riesgo de intoxicación medicamentosa por enfermedad psiquiátrica	20240101	Genomind® Pharmacogenetics Report - Full	Genomind®, Inc	Genomind®, Inc
1038565	0424U	Oncology (prostate), exosome-based analysis of 53 small noncoding RNAs (sncRNAs) by quantitative reverse transcription polymerase chain reaction (RT-qPCR), urine, reported as no molecular evidence, low-, moderate-, or elevated-risk of prostate cancer	ONC PRST8 XOME BASED ALYS 53 SNCRNA RT-QPCR UR	ONC PRST8 XOM ALYS 53 SNCRNA	Exosome-based analysis of 53 small non coding RNAs (sncRNAs) in urine, reported as risk for prostate cancer	Análisis de exosomas de 53 moléculas de ARN pequeños no codificantes (ARNpnc) en orina, reportado como riesgo de cáncer de próstata	20240101	miR Sentinel™ Prostate Cancer Test	miR Scientific®, LLC	miR Scientific®, LLC
1038566	0425U	Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis, each comparator genome (eg, parents, siblings)	GENOME RAPID SEQ ANALYSIS EACH COMPARATOR GENOME	GENOM RPD SEQ ALYS EA CMPRTR	Genome rapid sequence analysis, each comparator gene (eg, parents, siblings) for unexplained constitutional or heritable disorder or syndrome	Análisis rápido de secuencia genómica, cada gen comparador (p. ej. padres, hermanos) para detectar un trastorno o síndrome constitucional o hereditario inexplicable	20240101	RCIGM Rapid Whole Genome Sequencing, Comparator Genome	Rady Children's Institute for Genomic Medicine	Rady Children's Institute for Genomic Medicine
1038567	0426U	Genome (eg, unexplained constitutional or heritable disorder or syndrome), ultra-rapid sequence analysis	GENOME ULTRA-RAPID SEQUENCE ANALYSIS	GENOME ULTRA-RAPID SEQ ALYS	Genome ultra-rapid sequence analysis for unexplained constitutional or heritable disorder or syndrome	Análisis ultrarrápido de secuencia genómica para detectar un trastorno o síndrome constitucional o hereditario inexplicable	20240101	RCIGM Ultra-Rapid Whole Genome Sequencing	Rady Children's Institute for Genomic Medicine	Rady Children's Institute for Genomic Medicine
1038568	0427U	Monocyte distribution width, whole blood (List separately in addition to code for primary procedure)	MONOCYTE DISTRIBUTION WIDTH WHOLE BLOOD	MONOCYTE DSTRBJ WDTH WHL BLD	Monocyte distribution width in whole blood	Amplitud de la distribución de monocitos en sangre total	20240101	Early Sepsis Indicator		Beckman Coulter, Inc
1038570	0429U	Human papillomavirus (HPV), oropharyngeal swab, 14 high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, and 68)	HPV OROPHARYNGEAL SWAB 14 HIGH-RISK TYPES	HPV OROP SWAB 14 HI-RISK TYP	Testing for Human papillomavirus (HPV) from throat swab	Prueba de detección del virus del papiloma humano (VPH) en hisopado de garganta	20240101	Omnipathology Oropharyngeal HPV PCR Test	OmniPathology Solutions, Medical Corporation	OmniPathology Solutions, Medical Corporation
1038571	0430U	Gastroenterology, malabsorption evaluation of alpha-1-antitrypsin, calprotectin, pancreatic elastase and reducing substances, feces, quantitative	GI MALABS EVAL AAT CALPROTECTIN PNCRTC ELASTASE	GI MALABS AAT CALPRO PNCRTC	Malabsorption evaluation in stool	Signos de malabsorción en las heces	20240101	Malabsorption Evaluation Panel	Mayo Clinic/Mayo Clinic Laboratories	Mayo Clinic/Mayo Clinic Laboratories
1038572	0431U	Glycine receptor alpha1 IgG, serum or cerebrospinal fluid (CSF), live cell-binding assay (LCBA), qualitative	GLYCINE RECEPTOR ALPHA1 IGG SERUM/CSF LCBA QUAL	GLY RCPTR ALPHA1 IGG SRM/CSF	Glycine receptor alpha1 IgG live cell-binding assay in serum or cerebral spinal fluid (CSF)	Análisis de fijación de células vivas de IgG a receptores de glicina alfa 1, en suero o en líquido cefalorraquídeo (LCR)	20240101	Glycine Receptor Alpha1 IgG	Mayo Clinic/Mayo Clinic Laboratories	Mayo Clinic/Mayo Clinic Laboratories
1038573	0432U	Kelch-like protein 11 (KLHL11) antibody, serum or cerebrospinal fluid (CSF), cell-binding assay, qualitative	KLHL11 ANTB SERUM/CSF CELL BINDING ASSAY QUAL	KLHL11 ANTB SR/CSF ASY QUAL	Kelch-like protein 11 (KLHL11) antibody cell-binding assay in serum or cerebrospinal fluid (CSF)	Análisis de fijación de células del anticuerpo contra la proteína 11 similar a Kelch (KLHL11) en suero o en líquido cefalorraquídeo (LCR)	20240101	Kelch-Like Protein 11 Antibody	Mayo Clinic/Mayo Clinic Laboratories	Mayo Clinic/Mayo Clinic Laboratories
1038574	0433U	Oncology (prostate), 5 DNA regulatory markers by quantitative PCR, whole blood, algorithm, including prostate-specific antigen, reported as likelihood of cancer	ONC PROSTATE 5 DNA REG MRK QUAN PCR WHL BLD ALG	ONC PRST8 5 DNA REG MRK PCR	Testing for 5 DNA regulatory markers by quantitative PCR in whole blood, reported as likelihood of prostate cancer	Pruebas para detectar 5 marcadores regulatorios del ADN mediante PCR cuantitativo en sangre total, reportadas como una probabilidad de cáncer de próstata	20240101	EpiSwitch® Prostate Screening Test (PSE)	Oxford BioDynamics Inc	Oxford BioDynamics PLC
1038575	0434U	Drug metabolism (adverse drug reactions and drug response), genomic analysis panel, variant analysis of 25 genes with reported phenotypes	RX METAB ADVRS RX RXN&RSPSE VARIANT ALYS 25 GEN	RX METAB ADVRS VRNT ALYS 25	Genomic analysis panel of 25 genes to evaluation drug metabolism	Panel de análisis genómico de 25 genes para evaluar el metabolismo de fármacos	20240101	RightMed® Gene Test Exclude F2 and F5	OneOme® LLC	OneOme® LLC
1038576	0435U	Oncology, chemotherapeutic drug cytotoxicity assay of cancer stem cells (CSCs), from cultured CSCs and primary tumor cells, categorical drug response reported based on cytotoxicity percentage observed, minimum of 14 drugs or drug combinations	ONC CHEMO CYTOX ASY CSC RX RSPSE MIN 14 RX/CMBN	ONC CHEMO RX CYTOX CSC 14 RX	Chemotherapeutic drug cytotoxicity assay of cancer stem cells (CSCs), reported based on cytotoxicity percentage observed for a minimum of 14 drugs or drug combinations	Ensayo de citotoxicidad de fármaco quimioterapéutico en células madre cancerosas (CMC), reportado según el porcentaje de citotoxicidad observado en un mínimo de 14 fármacos o combinaciones de fármacos	20240101	ChemoID®	ChemoID® Lab	Cordgenics, LLC
1038577	0436U	Oncology (lung), plasma analysis of 388 proteins, using aptamer-based proteomics technology, predictive algorithm reported as clinical benefit from immune checkpoint inhibitor therapy	ONC LNG PLSM ALYS 388 PRTN APTMR BSD PRTOMC TECH	ONC LNG PLSM ALYS 388 PRTN	Plasma analysis of 388 proteins reported as clinical benefit from immune checkpoint inhibitor therapy in lung cancer	Análisis en plasma de 388 proteínas, reportado como el beneficio clínico de la terapia con inhibidores de puntos de control inmunitario para el cáncer de pulmón	20240101	PROphet® NSCLC Test	OncoHost, Inc	OncoHost, Inc
1038578	0437U	Psychiatry (anxiety disorders), mRNA, gene expression profiling by RNA sequencing of 15 biomarkers, whole blood, algorithm reported as predictive risk score	PSYC ANXIETY DO MRNA GEN XPRSN PRFL RNA 15 BMRK	PSYC ANXIETY DO MRNA 15 BMRK	mRNA, gene expression profiling by RNA sequencing of 15 biomarkers in whole blood, reported as predictive risk score for anxiety disorders	Perfiles de expresión génica de ARNm mediante la secuenciación de ARN de 15 biomarcadores en sangre total, reportados como puntaje de riesgo predictivo de trastornos de ansiedad	20240101	MindX One™ Blood Test - Anxiety	MindX Sciences	MindX Sciences
1038579	0438U	Drug metabolism (adverse drug reactions and drug response), buccal specimen, gene-drug interactions, variant analysis of 33 genes, including deletion/duplication analysis of CYP2D6, including reported phenotypes and impacted gene-drug interactions	RX METAB ADVRS RX RXN&RSPSE VRNT ALYS 33 GENES	RX METAB ADVRS VRNT ALYS 33	Variant analysis of gene-drug interactions of 33 genes from cheek swab to evaluate for adverse drug reactions and drug response	Análisis de variantes de interacciones gen-fármaco de 33 genes a partir del hisopado de mejilla para evaluar respuestas y reacciones adversas a fármacos	20240101	EffectiveRX™ Comprehensive Panel	RCA Laboratory Services LLC d/b/a GENETWORx	GENETWORx
1038582	0439U	Cardiology (coronary heart disease [CHD]), DNA, analysis of 5 single-nucleotide polymorphisms (SNPs) (rs11716050 [LOC105376934], rs6560711 [WDR37], rs3735222 [SCIN/LOC107986769], rs6820447 [intergenic], and rs9638144 [ESYT2]) and 3 DNA methylation markers (cg00300879 [transcription start site {TSS200} of CNKSR1], cg09552548 [intergenic], and cg14789911 [body of SPATC1L]), qPCR and digital PCR, whole blood, algorithm reported as a 4-tiered risk score for a 3-year risk of symptomatic CHD	CRD CHD DNA ALYS 5 SNP 3 DNA MTHYLTN MRK QPCR	CRD CHD DNA ALYS 5 SNP 3 DNA	qPCR and digital PCR DNA analysis of 5 single-nucleotide polymorphisms (SNPs) and 3 DNA methylation markers in whole blood, reported as a 4-tiered risk score for a 3-year risk of symptomatic coronary heart disease (CHD)	Análisis de ADN mediante qPCR y PCR digital de 5 polimorfismos de nucleótido único (SNPs) y de 3 marcadores de metilación de ADN en sangre total, reportado como un puntaje de riesgo de 4 niveles con el que se indica el riesgo de padecer enfermedad coronaria sintomática (CHD) en un plazo de tres años	20240401	Epi+Gen CHD™	Cardio Diagnostics, Inc	Cardio Diagnostics, Inc
1038583	0440U	Cardiology (coronary heart disease [CHD]), DNA, analysis of 10 single-nucleotide polymorphisms (SNPs) (rs710987 [LINC010019], rs1333048 [CDKN2B-AS1], rs12129789 [KCND3], rs942317 [KTN1-AS1], rs1441433 [PPP3CA], rs2869675 [PREX1], rs4639796 [ZBTB41], rs4376434 [LINC00972], rs12714414 [TMEM18], and rs7585056 [TMEM18]) and 6 DNA methylation markers (cg03725309 [SARS1], cg12586707 [CXCL1], cg04988978 [MPO], cg17901584 [DHCR24-DT], cg21161138 [AHRR], and cg12655112 [EHD4]), qPCR and digital PCR, whole blood, algorithm reported as detected or not detected for CHD	CRD CHD DNA ALYS 10 SNP 6 DNA MTHYLTN MRK QPCR	CRD CHD DNA ALYS 10 SNP 6DNA	qPCR and digital PCR DNA, analysis of 10 single-nucleotide polymorphisms (SNPs) and 6 DNA methylation markers in whole blood, reported as detected or not detected for evaluation of coronary heart disease (CHD)	Análisis de ADN mediante qPCR y PCR digital de 10 polimorfismos de nucleótido único (SNPs) y de 6 marcadores de metilación de ADN en sangre total, reportado como detectada o no detectada, para la evaluación de enfermedad coronaria (CHD)	20240401	PrecisionCHD™	Cardio Diagnostics, Inc	Cardio Diagnostics, Inc
1038584	0441U	Infectious disease (bacterial, fungal, or viral infection), semiquantitative biomechanical assessment (via deformability cytometry), whole blood, with algorithmic analysis and result reported as an index	NFCT DS BCT FNGL/VIR INFCTJ SEMIQ BIOMCHN ASSMT	NFCT DS BCT FNGL/VIRAL SEMIQ	Semiquantitative biomechanical assessment (via deformability cytometry) in whole blood, reported as an index for bacterial, fungal, or viral infection	Evaluación biomecánica semicuantitativa (mediante citometría de deformabilidad) en sangre total, reportada como un índice de infección bacteriana, fúngica o viral	20240401	IntelliSep® test		Cytovale®
1038585	0442U	Infectious disease (respiratory infection), Myxovirus resistance protein A (MxA) and C-reactive protein (CRP), fingerstick whole blood specimen, each biomarker reported as present or absent	NFCT DS RESPIRATORY INFCTJ MXA&CRP FS WHL BLOOD	NFCT DS RESPIR NFCTJ MXA&CRP	Fingerstick test of whole blood, result reported as present or absent for Myxovirus resistance protein A (MxA) and C-reactive protein (CRP) for evaluation of respiratory infection	Análisis de sangre total por punción digital, con resultado reportado como presencia o ausencia de proteína A de resistencia al myxovirus (MxA) y de proteína C reactiva (CRP), para la evaluación de infección respiratoria	20240401	FebriDx® Bacterial/Non-Bacterial Point-of-Care Assay	Lumos Diagnostics, LLC	Lumos Diagnostics, LLC
1038586	0443U	Neurofilament light chain (NfL), ultra-sensitive immunoassay, serum or cerebrospinal fluid	NEUROFILAMENT LIGHT CHAIN ULTRSENS IA SERUM/CSF	NEURFLMNT LT CHN ULTRSENS IA	Ultra-sensitive immunoassay of serum or cerebrospinal fluid for evaluation of neurofilament light chain	Inmunoensayo ultrasensible de suero o de líquido cefalorraquídeo, para la evaluación de cadena ligera de neurofilamentos	20240401	Neurofilament Light Chain (NfL)	Neuromuscular Clinical Laboratory at Washington University in St. Louis School of Medicine	Neuromuscular Clinical Laboratory at Washington University in St. Louis School of Medicine
1038587	0444U	Oncology (solid organ neoplasia), targeted genomic sequence analysis panel of 361 genes, interrogation for gene fusions, translocations, or other rearrangements, using DNA from formalin-fixed paraffin-embedded (FFPE) tumor tissue, report of clinically significant variant(s)	ONC SLD ORGN NEO TGSAP 361 GEN INTERROG DNA FFPE	ONC SLD ORGN NEO TGSAP 361	Targeted genomic sequence analysis panel of 361 genes using DNA from formalin-fixed paraffin-embedded (FFPE) tumor tissue including interrogation for gene fusions, translocations, or other rearrangements, reported as clinically significant variants in solid organ tumors	Panel de análisis de secuencias genómicas dirigido de 361 genes utilizando ADN de tejido tumoral fijado en formol e incluido en parafina (FFPE), con interrogación para la detección de fusiones, translocaciones u otro tipo reordenamientos genéticos, reportado como variantes de importancia clínica en tumores de órganos sólidos	20240401	Aventa FusionPlus™	Aventa Genomics, LLC	
1038588	0445U	β-amyloid (Abeta42) and phospho tau (181P) (pTau181), electrochemiluminescent immunoassay (ECLIA), cerebral spinal fluid, ratio reported as positive or negative for amyloid pathology	ABETA42 & PTAU181 ECLIA CEREBRAL SPINAL FLUID	ABETA42 & PTAU181 ECLIA CSF	Electrochemiluminescent immunoassay (ECLIA) of cerebral spinal fluid for β-amyloid (Abeta42) and phospho tau (181P) (pTau181) ratio reported as positive or negative for amyloid pathology	Inmunoensayo electroquimioluminescente (ECLIA) de líquido cefalorraquídeo para determinar la proporción de β-amiloide (Abeta42) y tau fosforilada (181P) (pTau181), reportado como positivo o negativo a patología amiloide	20240401	Elecsys® Phospho-Tau (181P) CSF (pTau181) and β-Amyloid (1-42) CSF II (Abeta 42) Ratio		Roche Diagnostics Operations, Inc (US owner/operator)
1038589	0446U	Autoimmune diseases (systemic lupus erythematosus [SLE]), analysis of 10 cytokine soluble mediator biomarkers by immunoassay, plasma, individual components reported with an algorithmic risk score for current disease activity	AI DS SLE ALYS 10 CYTOKINE SOL MDTR BMRK IA PLSM	AI DS SLE ALYS 10 CYTOKINE	Analysis of 10 cytokine soluble mediator biomarkers by immunoassay in plasma, results of individual components reported with an algorithmic risk score for current disease activity in systemic lupus erythematosus (SLE)	Análisis de 10 biomarcadores mediadores solubles de citocinas mediante inmunoensayo en plasma, con reporte de los resultados de los componentes individuales como un puntaje de riesgo algorítmico de actividad patológica actual en lupus eritematoso sistémico (LES)	20240401	aisle® DX Disease Activity Index	Progentec Diagnostics, Inc	Progentec Diagnostics, Inc
1038590	0447U	Autoimmune diseases (systemic lupus erythematosus [SLE]), analysis of 11 cytokine soluble mediator biomarkers by immunoassay, plasma, individual components reported with an algorithmic prognostic risk score for developing a clinical flare	AI DS SLE ALYS 11 CYTOKINE SOL MDTR BMRK IA PLSM	AI DS SLE ALYS 11 CYTOKINE	Analysis of 11 cytokine soluble mediator biomarkers by immunoassay in plasma, results of individual components reported with an algorithmic prognostic risk score for developing a clinical flare in systemic lupus erythematosus (SLE)	Análisis de 11 biomarcadores mediadores solubles de citocinas mediante inmunoensayo en plasma, con reporte de los resultados de los componentes individuales como un puntaje de riesgo pronóstico algorítmico de desarrollar un brote clínico de lupus eritematoso sistémico (LES)	20240401	aisle® DX Flare Risk Index	Progentec Diagnostics, Inc	Progentec Diagnostics, Inc
1038592	0449U	Carrier screening for severe inherited conditions (eg, cystic fibrosis, spinal muscular atrophy, beta hemoglobinopathies [including sickle cell disease], alpha thalassemia), regardless of race or self-identified ancestry, genomic sequence analysis panel, must include analysis of 5 genes (CFTR, SMN1, HBB, HBA1, HBA2)	CAR SCR SEV INH COND GENOMIC SEQ ALYS PNL 5 GEN	CAR SCR SEV INH COND 5 GENES	Genomic sequence analysis panel that must include analysis of 5 genes (CFTR, SMN1, HBB, HBA1, HBA2) as a carrier screening for severe inherited conditions such as cystic fibrosis, spinal muscular atrophy, beta hemoglobinopathies, alpha thalassemia, regardless of race or self-identified ancestry	Panel de análisis de secuencias genómicas que debe incluir el análisis de 5 genes (CFTR, SMN1, HBB, HBA1, HBA2) como prueba de portadores para detectar enfermedades hereditarias graves, como la fibrosis quística, la atrofia muscular espinal, hemoglobinopatías beta, talasemia alfa, con independencia de la raza o la ascendencia referida por el paciente	20240401	UNITY Carrier Screen™	BillionToOne Laboratory	BillionToOne, Inc
1038634	0450U	Oncology (multiple myeloma), liquid chromatography with tandem mass spectrometry (LC-MS/MS), monoclonal paraprotein sequencing analysis, serum, results reported as baseline presence or absence of detectable clonotypic peptides	ONC MM LC-MS/MS MONOCLONAL P-PRTN SEQ ALYS SERUM	ONC MM LC-MS/MS MONOC P-PRTN	Test for monoclonal paraproteins in blood, results reported as a baseline presence or absence of detectable clonotypic peptides in multiple myeloma	Prueba para detectar paraproteínas monoclonales en sangre, con reporte de los resultados como una referencia de la presencia o ausencia de péptidos clonotípicos detectables en mieloma múltiple	20240701	M-inSight® Patient Definition Assay	Corgenix Clinical Laboratory	Sebia
1038635	0451U	Oncology (multiple myeloma), LC-MS/MS, peptide ion quantification, serum, results compared with baseline to determine monoclonal paraprotein abundance	ONC MM LC-MS/MS PEPTIDE ION QUANTIFICATION SERUM	ONC MM LC-MS/MS PEP ION QUAN	Testing paraproteins in blood, results compared to baseline results to determine monoclonal paraprotein abundance in multiple myeloma	Pruebas para detectar paraproteínas en sangre, con resultados comparados con los resultados de referencia para determinar la abundancia de paraproteínas en mieloma múltiple	20240701	M-inSight® Patient Follow-Up Assessment	Corgenix Clinical Laboratory	Sebia
1038636	0452U	Oncology (bladder), methylated PENK DNA detection by linear target enrichment-quantitative methylation-specific real-time PCR (LTE-qMSP), urine, reported as likelihood of bladder cancer	ONC BLADDER MTHYL PENK DNA DETCJ LTE-QMSP URINE	ONC BLDR MTHYL PENK LTE-QMSP	Testing to detect methylated PENK DNA in urine, reported as likelihood of bladder cancer	Pruebas para detectar ADN con PENK metilada en orina, reportado como una probabilidad de cáncer de vejiga	20240701	EarlyTect® Bladder Cancer Detection (EarlyTect® BCD)	Promis Diagnostics, Inc	Promis Diagnostics, Inc
1038637	0453U	Oncology (colorectal cancer), cell-free DNA (cfDNA), methylation-based quantitative PCR assay (SEPTIN9, IKZF1, BCAT1, Septin9-2, VAV3, BCAN), plasma, reported as presence or absence of circulating tumor DNA (ctDNA)	ONC CLRCT CA CFDNA MTHYLTN BSD QUAN PCR ASY PLSM	ONC CLRCT CA CFDNA QPCR ASY	Testing for cell-free DNA in plasma, reported as the presence or absence of circulating tumor DNA in colorectal cancer	Pruebas para detectar ADN libre de células en plasma, reportado como presencia o ausencia de ADN tumoral circulante en cáncer colorrectal	20240701	ColonAiQ®	Breakthrough Genomics	Singlera Genomics, Inc
1038638	0454U	Rare diseases (constitutional/heritable disorders), identification of copy number variations, inversions, insertions, translocations, and other structural variants by optical genome mapping	RARE DS ID VRTJ INVRJ INSJ TLCJ OPT GENOME MAPG	RARE DS ID OPT GENOME MAPG	Testing by optical genome mapping for constitutional/heritable disorders	Pruebas mediante mapeo óptico del genoma para detectar trastornos constitucionales o hereditarios	20240701	Chromosome Genome Mapping	UR Medicine Labs	Bionano Genomics, Inc
1038639	0455U	Infectious agents (sexually transmitted infection), Chlamydia trachomatis, Neisseria gonorrhoeae, and Trichomonas vaginalis, multiplex amplified probe technique, vaginal, endocervical, gynecological specimens, oropharyngeal swabs, rectal swabs, female or male urine, each pathogen reported as detected or not detected	NFCT AGT STI CHLMYD GONORR TRICH MULT AMP PRB UR	NFCT AGT STI MULT AMP PRB UR	Testing for sexually transmitted infections in vaginal, endocervical, gynecological specimens, oropharyngeal swabs, rectal swabs, or female or male urine, results reported as detected or not detected	Pruebas para detectar infecciones de transmisión sexual en muestras ginecológicas vaginales o endocervicales, hisopados orofaríngeos, hisopados rectales u orina femenina o masculina, con reporte de los resultados como detectadas o no detectadas	20240701	Abbott Alinity™ m STI Assay	Abbott Molecular, Inc	
1038641	0457U	Perfluoroalkyl substances (PFAS) (eg, perfluorooctanoic acid, perfluorooctane sulfonic acid), 9 PFAS compounds by LC-MS/MS, plasma or serum, quantitative	PFAS 9 PFAS COMPOUNDS LC-MS/MS PLASMA/SERUM QUAN	PFAS 9 CMPND LC-MS/MS PLS/SR	Testing for 9 perfluoroalkyl compounds in plasma or serum	Pruebas en plasma o suero para detectar 9 compuestos perfluoroalquilos	20240701	PFAS (Forever Chemicals) 9 Panel	Quest Diagnostics®	Quest Diagnostics®
1038642	0458U	Oncology (breast cancer), S100A8 and S100A9, by enzyme-linked immunosorbent assay (ELISA), tear fluid with age, algorithm reported as a risk score	ONC BREAST CA S100 A8&A9 ELISA TEAR FLUID ALG	ONC BRST CA S100 A8&A9 ELISA	Testing for S100A8 and S100A9 in tear fluid with age, reported as a risk score for breast cancer	Pruebas para detectar S100A8 y S100A9 en líquido lagrimal, teniendo en cuenta la edad, reportadas como un puntaje de riesgo de padecer cáncer de mama	20240701	Auria®	Namida Lab, Inc	Namida Lab, Inc
1038643	0459U	β-amyloid (Abeta42) and total tau (tTau), electrochemiluminescent immunoassay (ECLIA), cerebral spinal fluid, ratio reported as positive or negative for amyloid pathology	ABETA42 & TTAU ECLIA CEREBRAL SPINAL FLUID RATIO	ABETA42 & TTAU ECLIA CSF	Testing for β-amyloid and total tau in spinal fluid, ratio reported as positive or negative for amyloid pathology	Pruebas para detectar β-amiloide y tau total en líquido cefalorraquídeo, cuya proporción se reporta como positiva o negativa a patología amiloide	20240701	Elecsys® Total Tau CSF (tTau) and β-Amyloid (1-42) CSF II (Abeta 42) Ratio		Roche Diagnostics Operations, Inc (US owner/operator)
1038644	0460U	Oncology, whole blood or buccal, DNA single-nucleotide polymorphism (SNP) genotyping by real-time PCR of 24 genes, with variant analysis and reported phenotypes	ONC WHL BLD/BUCCAL DNA SNP GNOTYP RTPCR 24 GENES	ONC WHL BLD/BUCC RTPCR 24GEN	DNA testing of 24 genes in whole blood or saliva in cancer	Análisis de ADN de 24 genes en sangre total o saliva en cáncer	20240701	RightMed® Oncology Gene Report	OneOme® LLC	OneOme® LLC
1038645	0461U	Oncology, pharmacogenomic analysis of single-nucleotide polymorphism (SNP) genotyping by real-time PCR of 24 genes, whole blood or buccal swab, with variant analysis, including impacted gene-drug interactions and reported phenotypes	ONC RX-GENOMIC ALYS SNP GNOTYP RTPCR 24 GENES	ONC RXGENOM ALYS RTPCR 24GEN	Analysis of 24 genes in whole blood or saliva for gene-drug interactions in cancer	Análisis de 24 genes en sangre total o saliva para detectar interacciones farmacogenéticas en cáncer	20240701	RightMed® Oncology Medication Report	OneOme® LLC	OneOme® LLC
1038646	0462U	Melatonin levels test, sleep study, 7 or 9 sample melatonin profile (cortisol optional), enzyme-linked immunosorbent assay (ELISA), saliva, screening/preliminary	MELATONIN LVL TEST SLEEP STUDY 7/9 SAMPLE ELISA	MELATONIN LVL TST SLP STD7/9	Screening testing of melatonin levels in saliva during sleep study	Pruebas para detectar los niveles de melatonina en saliva durante estudio del sueño	20240701	Salimetrics® Salivary Melatonin Profile (Circadian Phase Assessment)	Salimetrics® Clinical Laboratory	Salimetrics®, LLC
1038647	0463U	Oncology (cervix), mRNA gene expression profiling of 14 biomarkers (E6 and E7 of the highest-risk human papillomavirus [HPV] types 16, 18, 31, 33, 45, 52, 58), by real-time nucleic acid sequence-based amplification (NASBA), exo- or endocervical epithelial cells, algorithm reported as positive or negative for increased risk of cervical dysplasia or cancer for each biomarker	ONC CERVIX MRNA GENXPRSN 14 BMRK E6&E7 HPV NASBA	ONC CRVX MRNA GENXPRSN 14BMK	Gene expression profiling of high-risk HPV types in cervical cells, reported as positive or negative for increased risk of abnormal cervical cells or cervical cancer for each type	Perfil de expresión génica de tipos de VPH de alto riesgo en células cervicales, reportado como positivo o negativo a un mayor riesgo a presentar células anómalas de cuello uterino o cáncer de cuello uterino por cada tipo	20240701	Proofer ‘7 HPV mRNA E6 and E7 Biomarker Test	Global Diagnostics Labs, LLC	PreTect AS, a Mel-Mont Medical, Inc, wholly owned subsidiary
1038648	0464U	Oncology (colorectal) screening, quantitative real-time target and signal amplification, methylated DNA markers, including LASS4, LRRC4 and PPP2R5C, a reference marker ZDHHC1, and a protein marker (fecal hemoglobin), utilizing stool, algorithm reported as a positive or negative result	ONC CLRCT SCR QRTSA MTHYL DNA MRK W/STOOL ALG	ONC CLRCT SCR QRTSA DNA MRK	Screening test for DNA markers in stool reported as a positive or negative result for colorectal cancer	Prueba para detectar marcadores de ADN en heces, reportado como un resultado positivo o negativo al cáncer colorrectal	20240701	Cologuard Plus™	Exact Sciences Laboratories, LLC	Exact Sciences Corporation
1038649	0465U	Oncology (urothelial carcinoma), DNA, quantitative methylation-specific PCR of 2 genes (ONECUT2, VIM), algorithmic analysis reported as positive or negative	ONC UROTHELIAL CARC DNA QMSP 2 GENES ALG ALYS	ONC URTHL CARC DNA QMSP 2GEN	DNA testing for 2 genes reported as a positive or negative result for bladder cancer	Pruebas de ADN para detectar 2 genes, reportadas como un resultado positivo o negativo al cáncer de vejiga	20240701	UriFind® Urothelial Carcinoma Assay	DiaCarta, Inc	AnchorDx
1038650	0466U	Cardiology (coronary artery disease [CAD]), DNA, genome-wide association studies (564856 single-nucleotide polymorphisms [SNPs], targeted variant genotyping), patient lifestyle and clinical data, buccal swab, algorithm reported as polygenic risk to acquired heart disease	CRD CAD DNA GWAS 564856 SNP TRGT VARIANT GNOTYP	CRD CAD DNA GWAS 564856 SNP	DNA genome study with patient lifestyle and clinical data, using saliva, results reported as a risk for heart disease	Estudio genómico de ADN con datos clínicos y del estilo de vida del paciente, utilizando saliva, con reporte de los resultados como un riesgo de enfermedad cardiovascular	20240701	CardioRisk+	Gene by Gene, Ltd	OpenDNA, Ltd
